pooled rows=314053 dates=66
depth5_imb_z_velneg_gate_15s         x conc_imb_z_300s                      n= 307189 rho=+0.590
mid_roll_range_pos_300s              x conc_imb_z_300s                      n= 282679 rho=-0.589
ofi_15s_z_120s                       x ofi_sign_persist_60s                 n= 311023 rho=+0.589
ofi_15sz_spread_wide_gate            x ofi_sign_persist_60s                 n= 311023 rho=+0.589
iopv_prem_z_cross_vel_15s            x lastgap_z_cross_vel_15s              n= 307189 rho=+0.587
ofi_z_x_spread_z                     x ofi_concord_x_spread_z               n= 307339 rho=+0.587
signed_rv_60s                        x iopv_vel_z_300s                      n= 299668 rho=+0.585
mid_roll_range_pos_300s              x fullbook_imb_z_300s                  n= 282679 rho=+0.584
oir_zcross_x_spread_z                x oir_z_cross_vel_15s                  n= 307189 rho=-0.581
oir_mom_60s                          x top5_book_div_z_300s                 n= 307519 rho=+0.580
top5div_spread_wide_gate             x oir_mom_60s                          n= 307519 rho=+0.579
wdi_zaccel_extreme_15s               x wdi_z_cross_vel_15s                  n= 306859 rho=+0.579
ofi_concord_15_60                    x ofi_concord_x_spread_z               n= 307516 rho=-0.579
oir_mom_spread_wide_gate             x top5_book_div_z_300s                 n= 307519 rho=+0.579
oir_mom_spread_wide_gate             x top5div_spread_wide_gate             n= 307519 rho=+0.579
mid_roll_range_pos_300s              x iopv_vel_drift_300s                  n= 275041 rho=+0.578
dd_flow_300s                         x iopv_vel_drift_300s                  n= 298992 rho=+0.576
fullbook_imb_zcross_x_spread_z       x fullbook_imb_z_cross_vel_15s         n= 307189 rho=-0.575
div_z_x_spread_z                     x conc_imb_x_spread_z                  n= 307519 rho=+0.575
signed_rv_60s                        x mid_roll_range_pos_300s              n= 282679 rho=+0.570
oir_zaccel_extreme_15s               x wdi_z_cross_vel_15s                  n= 306859 rho=+0.569
wdi_zcross_x_spread_z                x wdi_z_cross_vel_15s                  n= 307189 rho=-0.567
oir_zvel_div_15s                     x microprice_dev_z_fade_pos_15s        n= 300655 rho=+0.558
flow_divergence_60s                  x flow_divergence_300s                 n= 305787 rho=+0.554
wdi_zaccel_extreme_15s               x depth5_imb_zvel_extreme_15s          n= 306859 rho=+0.552
wdi_zcross_x_spread_z                x div_z_x_spread_z                     n= 307189 rho=+0.552
depth5_delta_120s                    x wdi_mom_90s                          n= 311413 rho=+0.549
log_mid_ret_120s                     x rv_asym_300s                         n= 307453 rho=+0.548
top5div_spread_wide_gate             x depth5_delta_120s                    n= 307519 rho=+0.545
depth5_delta_120s                    x top5_book_div_z_300s                 n= 307519 rho=+0.545
depth5_delta_30s                     x depth5_delta_60s                     n= 312733 rho=+0.543
ofi_zvel_thin_gate                   x ofi_z_cross_vel_15s                  n= 305551 rho=+0.542
iopv_prem_z_cross_vel_15s            x lastgap_zvel_extreme_15s             n= 307189 rho=+0.539
log_mid_ret_120s                     x fullbook_imb_z_300s                  n= 307519 rho=+0.539
depth5_delta_120s                    x hidden_ask_supply_z_300s             n= 307519 rho=+0.538
hidden_bid_support_z_vel_15s         x vis_share_vel_15s                    n= 307189 rho=-0.538
depth5_delta_120s                    x hidden_bid_support_z_300s            n= 307519 rho=-0.537
depth5_delta_120s                    x depth5_delta_60s                     n= 311413 rho=+0.537
price_accel_60_180                   x rv_asym_300s                         n= 307453 rho=-0.536
oir_zaccel_extreme_15s               x oir_zcross_x_rvhi                    n= 298306 rho=+0.534
oir_zcross_x_rvhi                    x wdi_zvel_extreme_15s                 n= 298306 rho=+0.528
dev_from_open_bps                    x dev_open_x_spread_z                  n= 307519 rho=-0.527
top5div_spread_wide_gate             x depth5_delta_60s                     n= 307519 rho=+0.526
depth5_delta_60s                     x top5_book_div_z_300s                 n= 307519 rho=+0.526
log_mid_ret_120s                     x conc_imb_z_300s                      n= 307519 rho=-0.525
signed_rv_60s                        x fullbook_imb_mom_60s                 n= 312733 rho=+0.520
iopv_vel_z_300s                      x slope_gated_ofi_300s                 n= 299001 rho=+0.519
wdi_z_cross_vel_15s                  x depth5_imb_zvel_extreme_15s          n= 307189 rho=+0.512
hidden_bid_support_z_vel_15s         x wdi_z_cross_vel_15s                  n= 307189 rho=-0.511
rv_asym_300s                         x conc_imb_z_300s                      n= 307453 rho=-0.510
ofi_per_depth_z_300s                 x fullbook_imb_z_300s                  n= 305896 rho=+0.510
log_mid_ret_120s                     x ofi_concord_15_60                    n= 311410 rho=+0.507
ofi_concord_15_60                    x slope_gated_ofi_300s                 n= 305896 rho=+0.504
depth5_imb_z_velneg_gate_15s         x depth5_delta_120s                    n= 307189 rho=+0.504
dd_flow_300s                         x rv_asym_300s                         n= 305987 rho=+0.503
wdi_zvel_x_spread_z                  x wdi_zvel_extreme_15s                 n= 307189 rho=-0.502
